track_name,artist(s)_name,artist_count,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,major_key,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_none
El Azul,"Junior H, Peso Pluma",2,354495408,144,56,84,65,23,0,10,6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2808096550,90,76,91,50,54,0,7,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I'm Good (Blue),"Bebe Rexha, David Guetta",2,1109433169,128,56,38,97,4,0,35,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
See You Again,"Tyler, The Creator, Kali Uchis",3,1047101291,79,56,58,56,37,0,11,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,65156199,144,77,75,58,52,0,23,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Angels Like You,Miley Cyrus,1,570515054,122,67,49,64,10,0,10,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I Ain't Worried,OneRepublic,1,1085685420,140,71,82,81,11,0,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Die For You,The Weeknd,1,1647990401,134,59,51,52,9,0,15,7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Starboy,"The Weeknd, Daft Punk",2,2565529693,186,68,49,59,16,0,13,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Die For You - Remix,"Ariana Grande, The Weeknd",2,518745108,67,53,50,53,23,0,44,7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,107753850,106,72,17,64,7,0,10,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,177740666,128,60,23,91,0,0,12,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AMARGURA,Karol G,1,153372011,107,92,55,70,18,0,15,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(It Goes Like) Nanana - Edit,Peggy Gou,1,57876440,130,67,96,88,12,19,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Another Love,Tom Odell,1,1813673666,123,45,13,54,70,0,9,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Blinding Lights,The Weeknd,1,3703895074,171,50,38,80,0,0,9,7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moonlight,Kali Uchis,1,256483385,137,64,88,72,51,0,17,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
La Bachata,Manuel Turizo,1,1214083358,125,84,85,68,58,0,22,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
S91,Karol G,1,16011326,128,86,42,72,59,0,9,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cardigan,Taylor Swift,1,812019557,130,61,53,58,55,0,27,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,111947664,130,86,59,96,50,1,9,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,156338624,133,70,86,81,25,0,25,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,720434240,101,88,72,59,62,0,9,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BESO,"Rauw Alejandro, ROSALï¿½",2,357925728,95,77,53,64,74,0,17,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hey Mor,"Ozuna, Feid",2,674072710,98,90,40,59,0,0,10,29,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yellow,Chris Molitor,1,1755214421,173,43,28,66,0,0,23,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karma,Taylor Swift,1,404562836,90,64,10,62,7,0,48,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
People,Libianca,1,373199958,198,59,71,42,55,0,10,7,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overdrive,Post Malone,1,14780425,140,56,48,73,0,0,35,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enchanted (Taylor's Version),Taylor Swift,1,39578178,82,51,22,53,1,0,15,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BABY HELLO,"Rauw Alejandro, Bizarrap",2,54266102,130,77,84,89,17,0,43,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Waves,Glass Animals,1,2557975762,81,76,53,53,44,0,9,9,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
golden hour,JVKE,1,751134527,94,51,14,59,65,18,25,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweater Weather,The Neighbourhood,1,2282771485,124,61,41,81,5,2,10,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,1356565093,128,62,55,78,1,3,23,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viva La Vida,Coldplay,1,1592909789,138,49,42,62,9,0,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Here With Me,d4vd,1,635412045,132,58,27,48,50,0,12,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,1230675890,131,71,24,47,1,0,27,9,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yandel 150,"Yandel, Feid",2,585695368,168,78,58,73,5,0,10,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CORAZï¿½ï¿½N VA,Maria Becerra,1,43857627,98,68,40,79,33,0,30,6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riptide,Vance Joy,1,2009094673,102,48,50,73,43,0,15,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,600976848,101,34,32,57,78,0,20,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,39709092,130,63,36,34,76,0,35,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Back To December (Taylor's Version),Taylor Swift,1,39228929,142,50,20,64,1,0,12,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2665343922,170,59,48,76,4,0,10,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Merengue,"Marshmello, Manuel Turizo",2,223633238,124,78,70,68,3,1,11,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Someone You Loved,Lewis Capaldi,1,2887241814,110,50,45,41,75,0,11,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,1440757818,92,91,43,71,9,0,9,8,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Makeba,Jain,1,165484133,116,82,40,66,39,51,25,7,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,58054811,129,63,84,82,70,8,9,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fast Car,Luke Combs,1,157058870,98,71,67,60,19,0,12,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
What It Is (Solo Version),Doechii,1,95131998,172,74,76,76,6,0,10,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coco Chanel,"Bad Bunny, Eladio Carrion",2,250305248,150,68,14,76,4,0,10,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,685032533,136,62,19,53,11,0,6,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Still With You,Jung Kook,1,38411956,88,53,34,47,9,0,83,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,144565150,143,83,69,44,15,0,10,33,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Say Yes To Heaven,Lana Del Rey,1,127567540,100,49,17,35,71,9,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Snooze,SZA,1,399686758,143,56,39,55,14,0,11,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Summertime Sadness,Lana Del Rey,1,983637508,112,56,24,66,7,0,12,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Take Two,BTS,1,118482347,93,62,57,59,3,0,38,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Lover,Taylor Swift,1,882831184,206,43,50,55,50,0,15,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,286400165,88,68,17,71,15,0,11,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chemical,Post Malone,1,172825906,170,50,37,90,0,0,12,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mockingbird,Eminem,1,1241559043,84,62,24,67,21,0,13,28,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
New Jeans,NewJeans,1,29562220,134,81,53,72,51,0,12,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Primera Cita,Carin Leon,1,77309611,158,54,50,40,61,0,10,6,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,1605224506,116,80,92,80,4,0,10,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dandelions,Ruth B.,1,1116995633,117,61,45,69,2,0,9,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bones,Imagine Dragons,1,838079900,114,77,65,72,2,0,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Set Fire to the Rain,Adele,1,1163620694,108,61,47,68,0,0,13,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Money Trees,"Kendrick Lamar, Jay Rock",2,1093605526,144,74,37,53,7,0,21,10,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tak Segampang Itu,Anggi Marito,1,179659294,130,51,18,44,76,0,11,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,39058561,116,77,79,62,33,1,15,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mine (Taylor's Version),Taylor Swift,1,36912123,121,65,49,78,0,0,17,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Everybody Wants To Rule The World,Tears For Fears,1,1205951614,112,64,54,81,36,0,11,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
No Role Modelz,J. Cole,1,1791000570,100,70,47,52,30,0,6,33,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tattoo,Loreen,1,201660859,150,55,30,78,24,0,12,8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rara Vez,"Taiu, Milo j",2,248088961,120,84,96,71,18,0,34,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,90839753,127,82,89,85,4,0,23,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
august,Taylor Swift,1,607123776,90,51,42,61,53,0,9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LUNA,"Junior H, Peso Pluma",2,55842345,128,75,79,63,33,0,15,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,211050784,143,64,31,87,4,4,8,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonsense,Sabrina Carpenter,1,342897938,139,74,68,68,3,0,26,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2762,162,49,78,64,19,0,11,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por las Noches,Peso Pluma,1,330346424,92,81,39,60,31,0,7,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,601863821,95,87,57,55,10,0,29,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,1953533826,146,63,88,93,3,0,10,8,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watermelon Sugar,Harry Styles,1,2322580122,95,55,56,82,12,0,34,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lovely - Bonus Track,"Billie Eilish, Khalid",2,2355719893,115,35,12,30,93,0,10,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,66902503,128,78,59,65,10,0,26,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queencard,(G)I-DLE,1,96273746,130,82,69,83,3,0,27,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OMG,NewJeans,1,430977451,127,80,74,77,36,0,11,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radio,Lana Del Rey,1,284819874,150,42,20,86,21,0,9,9,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,721975598,122,78,50,63,27,0,9,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,Arctic Monkeys,1,1217120710,140,52,20,85,0,0,7,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,109276132,140,63,22,54,46,0,12,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,276259178,119,75,48,53,18,0,18,34,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,54225632,110,76,96,72,32,0,9,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Perfect,Ed Sheeran,1,2559529074,95,60,17,45,16,0,11,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Romantic Homicide,d4vd,1,681583126,132,56,20,55,45,1,32,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Believer,Imagine Dragons,1,2594040133,125,77,74,78,4,0,23,11,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,81102253,124,84,65,50,67,0,13,6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,11956641,133,93,68,65,42,0,12,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Without Me,Eminem,1,1687664027,112,92,67,66,0,0,36,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
